Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
attClasslistName,progression,Attribute,New,Specializations,,,,,
attClasslistRank1Desc,progression,Perk,New,Various Classes listed below,,,,,
attClasslistRank2Desc,progression,Perk,New," ",,,,,
attClasslistRank3Desc,progression,Perk,New," ",,,,,
attClasslistRank4Desc,progression,Perk,New," ",,,,,
attClasslistRank5Desc,progression,Perk,New," ",,,,,
attClasslistRank6Desc,progression,Perk,New," ",,,,,
attClasslistRank7Desc,progression,Perk,New," ",,,,,
attClasslistRank8Desc,progression,Perk,New," ",,,,,
attClasslistRank9Desc,progression,Perk,New," ",,,,,
attClasslistRank10Desc,progression,Perk,New," ",,,,,
skillMilitaryClassesName,progression,Skill,New,Specializations,,,,,
skillMilitaryClassesDesc,progression,Skill,New,Class Specializations for Advanced Characters. Note that each require two attributes to level.,,,,,
classJuggernautName,progression,Perk,New,Juggernaut,,,,,
classJuggernautDesc,progression,Perk,New,An unstoppable killing machine armed with heavy melee weapons,,,,,
classJuggernautRank1Desc,progression,Perk,New,Carry a big stick: Recipe - Steel Sledgehammer,,,,,
classJuggernautRank2Desc,progression,Perk,New,"Chainsaw Massacre: Chainsaw damage +250%, dismemberment chance +45%",,,,,
classJuggernautRank3Desc,progression,Perk,New,Evil Dead: Recipe - Reinforced Chainsaw,,,,,
classJuggernautRank4Desc,progression,Perk,New,"Tank: Heavy armor rating and durability +25%, mobility +90%",,,,,
classJuggernautRank5Desc,progression,Perk,New,Killdozer: Recipe - Rebar Armor,,,,,
armorRebarGroupDesc,items,Clothes,New,"Rebar armor is made from rebar frames and concrete. This makes it incredibly hard to wear but also near-indestructible. Repair with Concrete Mix.",,,,,
armorRebarHelmet,items,Clothes,New,Rebar Helmet,,,,,
armorRebarChest,items,Clothes,New,Rebar Armor,,,,,
armorRebarGloves,items,Clothes,New,Rebar Gauntlets,,,,,
armorRebarLegs,items,Clothes,New,Rebar Legs,,,,,
armorRebarBoots,items,Clothes,New,Rebar Boots,,,,,
meleeToolSledgehammerSteel,items,Melee,New,Steel Sledgehammer,,,,,
meleeToolSledgehammerSteelDesc,items,Melee,New,"A giant steel hammer, what's not to like?",,,,,
reqLevel50,progression,Attribute,New,"Level 50",,,,,
reqLevel60,progression,Attribute,New,"Level 60",,,,,
reqLevel70,progression,Attribute,New,"Level 70",,,,,
reqLevel80,progression,Attribute,New,"Level 80",,,,,
reqLevel100,progression,Attribute,New,"Level 100",,,,,
